date_time_(UTC),channel,duration,https://archive.org/details/,text
10/24/2020 0:01,CNNW,6,CNNW_20201024_000000_Anderson_Cooper_360/start/60,SAME AS IT EVER WAS
10/24/2020 0:01,MSNBCW,10,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/60,I MORE THAN 47 MILLION AMERICANS HAVE ALREADY VOTED '
10/24/2020 0:02,MSNBCW,8,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/120,I TRUMP\u2019S FAILED QUEST FOR A SILVER BULLET TO STOP THE VIRUS '
10/24/2020 0:04,BBCNEWS,10,BBCNEWS_20201024_000000_BBC_News/start/240,White House announces Sudan Israel deal. President Trump: Sudan is third Arab nation to recognise Israel
10/24/2020 0:04,MSNBCW,7,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/240,"I U.S. SEES RECORD INCREASE IN NEW COVID CASES: MORE THAN 83,OOO '\nI HOW TRUMP SEEKS MAGIC SOLUTIONS THAT NEVER COME '"
10/24/2020 0:05,BBCNEWS,5,BBCNEWS_20201024_000000_BBC_News/start/300,White House announces Sudan Israel deal. Palestinians condemn Arab nations recognising Israel
10/24/2020 0:05,MSNBCW,4,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/300,Vvu. . UV]
10/24/2020 0:06,BBCNEWS,8,BBCNEWS_20201024_000000_BBC_News/start/360,White House announces Sudan Israel deal. Deal comes after similar moves by UAE and Bahrain
10/24/2020 0:06,MSNBCW,6,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/360,I TRUMP\u2019S MANY FAILED LINES OF A'I'I'ACK ON JOE BIDEN '
10/24/2020 0:07,BBCNEWS,9,BBCNEWS_20201024_000000_BBC_News/start/420,White House announces Sudan Israel deal. Sudan removed from US list of terrorism state sponsors
10/24/2020 0:07,MSNBCW,5,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/420,I MORE THAN A MILLION VOTES ALREADY CAST IN WISCONSIN '
10/24/2020 0:09,CNNW,5,CNNW_20201024_000000_Anderson_Cooper_360/start/540,"FAUCI THINKS THERE SHOULD BE A NATIONAL MANDATE FOR MASKS,. AS U.S. APPROACHES SINGLE-DAY RECORD FOR NEW COVID CASES"
10/24/2020 0:09,MSNBCW,4,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/540,I POLL SHOWS PRESIDENTIAL RACE TIGHT IN GEORGIA I
10/24/2020 0:10,MSNBCW,8,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/600,JhMSNBC. I CHRIS JANSING SENIOR NATIONAL CORRESPONDENT
10/24/2020 0:11,MSNBCW,12,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/660,I POLL SHOWS PRESIDENTIAL RACE TIGHT IN GEORGIA I
10/24/2020 0:12,MSNBCW,5,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/720,I DASHA BURNS $333235
10/24/2020 0:13,MSNBCW,6,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/780,I POLL: BIDEN LEADS TRUMP IN FLORIDA '
10/24/2020 0:14,MSNBCW,13,MSNBCW_20201024_000000_All_In_With_Chris_Hayes/start/840,I ELLISON BARBER Egg\u00e9ggONDENT
